Tracking contamination for  16 particles and  92 time steps. Reverse tracking: Disabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle= 13 | newX= 1219.0267 | newY=  262.0201
particle= 14 | newX= 1218.1335 | newY=  333.7745
particle= 15 | newX= 1201.1660 | newY=  393.9633
STEP  21 | DAY  440
particle=  0 | newX= 1174.0345 | newY=  455.4761
particle=  1 | newX= 1133.5585 | newY=  494.0448
particle=  2 | newX= 1085.6467 | newY=  519.4436
particle=  3 | newX= 1033.7819 | newY=  530.2660
particle=  4 | newX=  981.7447 | newY=  525.8892
particle=  5 | newX=  933.1193 | newY=  506.5320
particle=  6 | newX=  890.8200 | newY=  472.8294
particle=  7 | newX=  856.7782 | newY=  424.8531
particle=  8 | newX=  832.5456 | newY=  360.0603
particle=  9 | newX=  822.8301 | newY=  268.4127
particle= 10 | newX=  863.8837 | newY=  121.4649
particle= 11 | newX= 1095.5493 | newY=   60.7027
particle= 12 | newX= 1199.8611 | newY=  181.5203
particle= 13 | newX= 1223.8475 | newY=  272.7609
particle= 14 | newX= 1221.9537 | newY=  345.0127
particle= 15 | newX= 1204.2754 | newY=  405.4571
STEP  22 | DAY  460
particle=  0 | newX= 1176.4991 | newY=  467.0767
particle=  1 | newX= 1135.5811 | newY=  505.7680
particle=  2 | newX= 1087.2824 | newY=  531.2782
particle=  3 | newX= 1035.0669 | newY=  542.2101
particle=  4 | newX=  982.6999 | newY=  537.9462
particle=  5 | newX=  933.7485 | newY=  518.7070
particle=  6 | newX=  891.0990 | newY=  485.1240
particle=  7 | newX=  856.6224 | newY=  437.2503
particle=  8 | newX=  831.7162 | newY=  372.4658
particle=  9 | newX=  820.5935 | newY=  280.3176
particle= 10 | newX=  858.4522 | newY=  128.6529
particle= 11 | newX= 1102.6039 | newY=   63.8944
particle= 12 | newX= 1206.0329 | newY=  191.0573
particle= 13 | newX= 1228.4681 | newY=  283.5450
particle= 14 | newX= 1225.6208 | newY=  356.2344
particle= 15 | newX= 1207.2682 | newY=  416.9055
STEP  23 | DAY  480
particle=  0 | newX= 1178.8824 | newY=  478.6192
particle=  1 | newX= 1137.5444 | newY=  517.4242
particle=  2 | newX= 1088.8784 | newY=  543.0404
particle=  3 | newX= 1036.3303 | newY=  554.0786
particle=  4 | newX=  983.6518 | newY=  549.9258
particle=  5 | newX=  934.3945 | newY=  530.8051
particle=  6 | newX=  891.4193 | newY=  497.3455
particle=  7 | newX=  856.5431 | newY=  449.5857
particle=  8 | newX=  831.0219 | newY=  384.8417
particle=  9 | newX=  818.5993 | newY=  292.3037
particle= 10 | newX=  853.1701 | newY=  136.3130
particle= 11 | newX= 1109.7842 | newY=   67.5272
particle= 12 | newX= 1211.9742 | newY=  200.7700
particle= 13 | newX= 1232.9016 | newY=  294.3630
particle= 14 | newX= 1229.1460 | newY=  367.4372
particle= 15 | newX= 1210.1532 | newY=  428.3098
STEP  24 | DAY  500
particle=  0 | newX= 1181.1900 | newY=  490.1065
particle=  1 | newX= 1139.4524 | newY=  529.0177
particle=  2 | newX= 1090.4367 | newY=  554.7348
particle=  3 | newX= 1037.5727 | newY=  565.8761
particle=  4 | newX=  984.5992 | newY=  561.8331
particle=  5 | newX=  935.0539 | newY=  542.8308
particle=  6 | newX=  891.7752 | newY=  509.4975
particle=  7 | newX=  856.5309 | newY=  461.8608
particle=  8 | newX=  830.4481 | newY=  397.1842
particle=  9 | newX=  816.8281 | newY=  304.3529
particle= 10 | newX=  848.0630 | newY=  144.4257
particle= 11 | newX= 1117.0609 | newY=   71.6050
particle= 12 | newX= 1217.6928 | newY=  210.6355
particle= 13 | newX= 1237.1602 | newY=  305.2067
particle= 14 | newX= 1232.5393 | newY=  378.6195
particle= 15 | newX= 1212.9379 | newY=  439.6715
STEP  25 | DAY  520
particle=  0 | newX= 1183.4270 | newY=  501.5418
particle=  1 | newX= 1141.3083 | newY=  540.5522
particle=  2 | newX= 1091.9593 | newY=  566.3658
particle=  3 | newX= 1038.7944 | newY=  577.6073
particle=  4 | newX=  985.5410 | newY=  573.6722
particle=  5 | newX=  935.7241 | newY=  554.7883
particle=  6 | newX=  892.1618 | newY=  521.5834
particle=  7 | newX=  856.5777 | newY=  474.0770
particle=  8 | newX=  829.9817 | newY=  409.4905
particle=  9 | newX=  815.2614 | newY=  316.4497
particle= 10 | newX=  843.1538 | newY=  152.9686
particle= 11 | newX= 1124.4039 | newY=   76.1279
particle= 12 | newX= 1223.1970 | newY=  220.6336
particle= 13 | newX= 1241.2549 | newY=  316.0691
particle= 14 | newX= 1235.8098 | newY=  389.7801
particle= 15 | newX= 1215.6293 | newY=  450.9920
STEP  26 | DAY  540
particle=  0 | newX= 1185.5977 | newY=  512.9274
particle=  1 | newX= 1143.1152 | newY=  552.0309
particle=  2 | newX= 1093.4479 | newY=  577.9369
