Tracking contamination for  16 particles and  92 time steps. Reverse tracking: Disabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  9 | newX=  115.1536 | newY=  145.6755
particle= 10 | newX=  151.6143 | newY=   68.3585
particle= 11 | newX=  250.6290 | newY=   -2.2590
particle= 12 | newX=  395.0558 | newY=   31.4901
particle= 13 | newX=  452.8391 | newY=  132.6955
particle= 14 | newX=  456.6047 | newY=  216.8326
particle= 15 | newX=  438.8247 | newY=  281.5907
STEP  15 | DAY  320
particle=  0 | newX=  408.6966 | newY=  343.6882
particle=  1 | newX=  368.7021 | newY=  378.7540
particle=  2 | newX=  322.3417 | newY=  399.1966
particle=  3 | newX=  272.7288 | newY=  404.4417
particle=  4 | newX=  223.5335 | newY=  394.3643
particle=  5 | newX=  178.6158 | newY=  369.6786
particle=  6 | newX=  141.5894 | newY=  331.8943
particle=  7 | newX=  115.4983 | newY=  282.9093
particle=  8 | newX=  103.1479 | newY=  224.1708
particle=  9 | newX=  108.7298 | newY=  155.6092
particle= 10 | newX=  143.7618 | newY=   75.4650
particle= 11 | newX=  245.3585 | newY=   -2.0664
particle= 12 | newX=  400.5545 | newY=   34.6621
particle= 13 | newX=  457.4087 | newY=  142.6563
particle= 14 | newX=  458.9659 | newY=  228.8589
particle= 15 | newX=  439.8229 | newY=  294.2236
STEP  16 | DAY  340
particle=  0 | newX=  408.6959 | newY=  356.3740
particle=  1 | newX=  368.1177 | newY=  391.4052
particle=  2 | newX=  321.2571 | newY=  411.7574
particle=  3 | newX=  271.1644 | newY=  416.8844
particle=  4 | newX=  221.4724 | newY=  406.6667
particle=  5 | newX=  176.0127 | newY=  381.8120
particle=  6 | newX=  138.3682 | newY=  343.8103
particle=  7 | newX=  111.5390 | newY=  294.5154
particle=  8 | newX=   98.2579 | newY=  235.2693
particle=  9 | newX=  102.6010 | newY=  165.7019
particle= 10 | newX=  136.1243 | newY=   82.9893
particle= 11 | newX=  239.8408 | newY=   -1.5447
particle= 12 | newX=  406.1070 | newY=   38.2970
particle= 13 | newX=  461.6119 | newY=  152.9246
particle= 14 | newX=  461.0144 | newY=  240.9446
particle= 15 | newX=  440.6141 | newY=  306.8056
STEP  17 | DAY  360
particle=  0 | newX=  408.5868 | newY=  368.9664
particle=  1 | newX=  367.4779 | newY=  403.9451
particle=  2 | newX=  320.1588 | newY=  424.2003
particle=  3 | newX=  269.6229 | newY=  429.2091
particle=  4 | newX=  219.4694 | newY=  418.8567
particle=  5 | newX=  173.5039 | newY=  393.8444
particle=  6 | newX=  135.2808 | newY=  355.6451
particle=  7 | newX=  107.7584 | newY=  306.0742
particle=  8 | newX=   93.5977 | newY=  246.3811
particle=  9 | newX=   96.7486 | newY=  175.9275
particle= 10 | newX=  128.7113 | newY=   90.8909
particle= 11 | newX=  234.0821 | newY=   -0.6825
particle= 12 | newX=  411.6933 | newY=   42.3977
particle= 13 | newX=  465.4598 | newY=  163.4624
particle= 14 | newX=  462.7804 | newY=  253.0729
particle= 15 | newX=  441.2235 | newY=  319.3350
STEP  18 | DAY  380
particle=  0 | newX=  408.3843 | newY=  381.4713
particle=  1 | newX=  366.7916 | newY=  416.3826
particle=  2 | newX=  319.0511 | newY=  436.5355
particle=  3 | newX=  268.1043 | newY=  441.4264
particle=  4 | newX=  217.5203 | newY=  430.9441
particle=  5 | newX=  171.0813 | newY=  405.7841
particle=  6 | newX=  132.3152 | newY=  367.4043
particle=  7 | newX=  104.1406 | newY=  317.5863
particle=  8 | newX=   89.1481 | newY=  257.4985
particle=  9 | newX=   91.1550 | newY=  186.2637
particle= 10 | newX=  121.5291 | newY=   99.1317
particle= 11 | newX=  228.0915 | newY=    0.5325
particle= 12 | newX=  417.2906 | newY=   46.9660
particle= 13 | newX=  468.9654 | newY=  174.2351
particle= 14 | newX=  464.2912 | newY=  265.2300
particle= 15 | newX=  441.6733 | newY=  331.8113
STEP  19 | DAY  400
particle=  0 | newX=  408.1012 | newY=  393.8937
particle=  1 | newX=  366.0666 | newY=  428.7254
particle=  2 | newX=  317.9373 | newY=  448.7716
particle=  3 | newX=  266.6083 | newY=  453.5452
particle=  4 | newX=  215.6216 | newY=  442.9373
particle=  5 | newX=  168.7380 | newY=  417.6383
particle=  6 | newX=  129.4609 | newY=  379.0927
particle=  7 | newX=  100.6714 | newY=  329.0527
particle=  8 | newX=   84.8919 | newY=  268.6154
particle=  9 | newX=   85.8036 | newY=  196.6913
particle= 10 | newX=  114.5805 | newY=  107.6758
particle= 11 | newX=  221.8809 | newY=    2.1136
particle= 12 | newX=  422.8748 | newY=   52.0016
particle= 13 | newX=  472.1435 | newY=  185.2113
particle= 14 | newX=  465.5720 | newY=  277.4044
particle= 15 | newX=  441.9829 | newY=  344.2343
STEP  20 | DAY  420
particle=  0 | newX=  407.7486 | newY=  406.2384
particle=  1 | newX=  365.3093 | newY=  440.9804
particle=  2 | newX=  316.8204 | newY=  460.9166
particle=  3 | newX=  265.1346 | newY=  465.5734
particle=  4 | newX=  213.7700 | newY=  454.8439
particle=  5 | newX=  166.4678 | newY=  429.4135
particle=  6 | newX=  126.7088 | newY=  390.7150
particle=  7 | newX=   97.3387 | newY=  340.4745
particle=  8 | newX=   80.8138 | newY=  279.7269
particle=  9 | newX=   80.6786 | newY=  207.1944
particle= 10 | newX=  107.8657 | newY=  116.4901
particle= 11 | newX=  215.4650 | newY=    4.0739
particle= 12 | newX=  428.4200 | newY=   57.5021
particle= 13 | newX=  475.0104 | newY=  196.3630
particle= 14 | newX=  466.6458 | newY=  289.5868
particle= 15 | newX=  442.1692 | newY=  356.6042
STEP  21 | DAY  440
particle=  0 | newX=  407.3362 | newY=  418.5098
particle=  1 | newX=  364.5254 | newY=  453.1535
particle=  2 | newX=  315.7027 | newY=  472.9770
particle=  3 | newX=  263.6831 | newY=  477.5179
particle=  4 | newX=  211.9628 | newY=  466.6704
particle=  5 | newX=  164.2655 | newY=  441.1153
particle=  6 | newX=  124.0510 | newY=  402.2750
particle=  7 | newX=   94.1315 | newY=  351.8530
particle=  8 | newX=   76.9002 | newY=  290.8292
particle=  9 | newX=   75.7654 | newY=  217.7590
particle= 10 | newX=  101.3829 | newY=  125.5441
particle= 11 | newX=  208.8614 | newY=    6.4260
particle= 12 | newX=  433.8999 | newY=   63.4622
particle= 13 | newX=  477.5831 | newY=  207.6650
particle= 14 | newX=  467.5335 | newY=  301.7692
particle= 15 | newX=  442.2471 | newY=  368.9215
STEP  22 | DAY  460
particle=  0 | newX=  406.8723 | newY=  430.7116
particle=  1 | newX=  363.7197 | newY=  465.2502
particle=  2 | newX=  314.5863 | newY=  484.9590
particle=  3 | newX=  262.2534 | newY=  489.3848
particle=  4 | newX=  210.1975 | newY=  478.4226
particle=  5 | newX=  162.1264 | newY=  452.7488
particle=  6 | newX=  121.4804 | newY=  413.7765
particle=  7 | newX=   91.0403 | newY=  363.1894
particle=  8 | newX=   73.1388 | newY=  301.9192
particle=  9 | newX=   71.0505 | newY=  228.3736
particle= 10 | newX=   95.1280 | newY=  134.8098
particle= 11 | newX=  202.0906 | newY=    9.1810
particle= 12 | newX=  439.2881 | newY=   69.8740
particle= 13 | newX=  479.8793 | newY=  219.0949
particle= 14 | newX=  468.2543 | newY=  313.9453
particle= 15 | newX=  442.2300 | newY=  381.1870
STEP  23 | DAY  480
particle=  0 | newX=  406.3642 | newY=  442.8476
particle=  1 | newX=  362.8964 | newY=  477.2752
particle=  2 | newX=  313.4731 | newY=  496.8678
particle=  3 | newX=  260.8453 | newY=  501.1795
particle=  4 | newX=  208.4719 | newY=  490.1055
particle=  5 | newX=  160.0463 | newY=  464.3184
particle=  6 | newX=  118.9908 | newY=  425.2229
particle=  7 | newX=   88.0566 | newY=  374.4851
particle=  8 | newX=   69.5186 | newY=  312.9945
particle=  9 | newX=   66.5210 | newY=  239.0282
particle= 10 | newX=   89.0958 | newY=  144.2620
particle= 11 | newX=  195.1752 | newY=   12.3479
particle= 12 | newX=  444.5590 | newY=   76.7265
particle= 13 | newX=  481.9169 | newY=  230.6329
particle= 14 | newX=  468.8255 | newY=  326.1098
particle= 15 | newX=  442.1293 | newY=  393.4015
STEP  24 | DAY  500
particle=  0 | newX=  405.8182 | newY=  454.9209
particle=  1 | newX=  362.0590 | newY=  489.2328
particle=  2 | newX=  312.3645 | newY=  508.7081
particle=  3 | newX=  259.4584 | newY=  512.9068
particle=  4 | newX=  206.7841 | newY=  501.7239
particle=  5 | newX=  158.0217 | newY=  475.8282
particle=  6 | newX=  116.5768 | newY=  436.6172
particle=  7 | newX=   85.1727 | newY=  385.7415
particle=  8 | newX=   66.0297 | newY=  324.0533
particle=  9 | newX=   62.1652 | newY=  249.7144
particle= 10 | newX=   83.2800 | newY=  153.8779
particle= 11 | newX=  188.1400 | newY=   15.9334
particle= 12 | newX=  449.6880 | newY=   84.0062
particle= 13 | newX=  483.7138 | newY=  242.2614
particle= 14 | newX=  469.2628 | newY=  338.2583
particle= 15 | newX=  441.9554 | newY=  405.5661
STEP  25 | DAY  520
particle=  0 | newX=  405.2400 | newY=  466.9345
particle=  1 | newX=  361.2107 | newY=  501.1269
particle=  2 | newX=  311.2618 | newY=  520.4842
particle=  3 | newX=  258.0925 | newY=  524.5710
particle=  4 | newX=  205.1323 | newY=  513.2818
particle=  5 | newX=  156.0492 | newY=  487.2819
particle=  6 | newX=  114.2333 | newY=  447.9623
particle=  7 | newX=   82.3819 | newY=  396.9598
particle=  8 | newX=   62.6632 | newY=  335.0940
particle=  9 | newX=   57.9721 | newY=  260.4250
particle= 10 | newX=   77.6732 | newY=  163.6368
particle= 11 | newX=  181.0115 | newY=   19.9411
particle= 12 | newX=  454.6525 | newY=   91.6968
particle= 13 | newX=  485.2874 | newY=  253.9648
particle= 14 | newX=  469.5805 | newY=  350.3873
particle= 15 | newX=  441.7173 | newY=  417.6817
STEP  26 | DAY  540
particle=  0 | newX=  404.6343 | newY=  478.8912
particle=  1 | newX=  360.3542 | newY=  512.9610
particle=  2 | newX=  310.1661 | newY=  532.1998
particle=  3 | newX=  256.7473 | newY=  536.1759
particle=  4 | newX=  203.5149 | newY=  524.7828
particle=  5 | newX=  154.1258 | newY=  498.6828
particle=  6 | newX=  111.9559 | newY=  459.2606
particle=  7 | newX=   79.6781 | newY=  408.1414
particle=  8 | newX=   59.4109 | newY=  346.1158
particle=  9 | newX=   53.9317 | newY=  271.1539
particle= 10 | newX=   72.2678 | newY=  173.5206
particle= 11 | newX=  173.8167 | newY=   24.3717
particle= 12 | newX=  459.4323 | newY=   99.7799
particle= 13 | newX=  486.6549 | newY=  265.7297
particle= 14 | newX=  469.7914 | newY=  362.4938
particle= 15 | newX=  441.4232 | newY=  429.7495
STEP  27 | DAY  560
particle=  0 | newX=  404.0055 | newY=  490.7935
particle=  1 | newX=  359.4920 | newY=  524.7382
particle=  2 | newX=  309.0783 | newY=  543.8585
particle=  3 | newX=  255.4225 | newY=  547.7251
particle=  4 | newX=  201.9303 | newY=  536.2305
particle=  5 | newX=  152.2489 | newY=  510.0338
particle=  6 | newX=  109.7407 | newY=  470.5147
particle=  7 | newX=   77.0557 | newY=  419.2875
particle=  8 | newX=   56.2654 | newY=  357.1176
particle=  9 | newX=   50.0345 | newY=  281.8960
particle= 10 | newX=   67.0556 | newY=  183.5128
particle= 11 | newX=  166.5835 | newY=   29.2222
particle= 12 | newX=  464.0095 | newY=  108.2353
particle= 13 | newX=  487.8326 | newY=  277.5439
particle= 14 | newX=  469.9072 | newY=  374.5754
particle= 15 | newX=  441.0801 | newY=  441.7705
STEP  28 | DAY  580
particle=  0 | newX=  403.3573 | newY=  502.6436
particle=  1 | newX=  358.6260 | newY=  536.4615
particle=  2 | newX=  307.9992 | newY=  555.4633
particle=  3 | newX=  254.1178 | newY=  559.2216
particle=  4 | newX=  200.3774 | newY=  547.6276
particle=  5 | newX=  150.4161 | newY=  521.3376
particle=  6 | newX=  107.5841 | newY=  481.7266
particle=  7 | newX=   74.5098 | newY=  430.3993
particle=  8 | newX=   53.2202 | newY=  368.0991
particle=  9 | newX=   46.2719 | newY=  292.6468
particle= 10 | newX=   62.0284 | newY=  193.5989
particle= 11 | newX=  159.3391 | newY=   34.4863
particle= 12 | newX=  468.3693 | newY=  117.0412
particle= 13 | newX=  488.8364 | newY=  289.3971
particle= 14 | newX=  469.9384 | newY=  386.6303
particle= 15 | newX=  440.6943 | newY=  453.7457
STEP  29 | DAY  600
particle=  0 | newX=  402.6932 | newY=  514.4438
particle=  1 | newX=  357.7580 | newY=  548.1333
particle=  2 | newX=  306.9295 | newY=  567.0170
particle=  3 | newX=  252.8329 | newY=  570.6683
particle=  4 | newX=  198.8547 | newY=  558.9771
particle=  5 | newX=  148.6251 | newY=  532.5969
particle=  6 | newX=  105.4828 | newY=  492.8983
particle=  7 | newX=   72.0357 | newY=  441.4781
particle=  8 | newX=   50.2689 | newY=  379.0598
particle=  9 | newX=   42.6359 | newY=  303.4026
particle= 10 | newX=   57.1781 | newY=  203.7661
particle= 11 | newX=  152.1100 | newY=   40.1547
particle= 12 | newX=  472.5001 | newY=  126.1751
particle= 13 | newX=  489.6811 | newY=  301.2799
particle= 14 | newX=  469.8944 | newY=  398.6568
particle= 15 | newX=  440.2715 | newY=  465.6763
STEP  30 | DAY  620
particle=  0 | newX=  402.0159 | newY=  526.1960
particle=  1 | newX=  356.8898 | newY=  559.7562
particle=  2 | newX=  305.8697 | newY=  578.5222
particle=  3 | newX=  251.5674 | newY=  582.0678
