Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  7 | newX= 1187.5104 | newY=  720.7008
particle=  8 | newX= 1192.3253 | newY=  720.9305
particle=  9 | newX= 1197.1432 | newY=  721.1616
STEP  26 | DAY  540
particle=  0 | newX= 1152.6395 | newY=  708.2351
particle=  1 | newX= 1157.4238 | newY=  708.4651
particle=  2 | newX= 1162.2111 | newY=  708.6971
particle=  3 | newX= 1167.0015 | newY=  708.9309
particle=  4 | newX= 1171.7950 | newY=  709.1666
particle=  5 | newX=  798.4173 | newY=  699.1848
particle=  6 | newX= 1181.3913 | newY=  709.6432
particle=  7 | newX= 1186.1941 | newY=  709.8840
particle=  8 | newX= 1191.0001 | newY=  710.1263
particle=  9 | newX= 1195.8093 | newY=  710.3701
STEP  27 | DAY  560
particle=  0 | newX= 1151.3678 | newY=  697.3043
particle=  1 | newX= 1156.1416 | newY=  697.5466
particle=  2 | newX= 1160.9186 | newY=  697.7911
particle=  3 | newX= 1165.6988 | newY=  698.0375
particle=  4 | newX= 1170.4823 | newY=  698.2859
particle=  5 | newX=  798.1785 | newY=  687.8725
particle=  6 | newX= 1180.0593 | newY=  698.7881
particle=  7 | newX= 1184.8528 | newY=  699.0419
particle=  8 | newX= 1189.6497 | newY=  699.2973
particle=  9 | newX= 1194.4499 | newY=  699.5542
STEP  28 | DAY  580
particle=  0 | newX= 1150.0719 | newY=  686.3443
particle=  1 | newX= 1154.8348 | newY=  686.5994
particle=  2 | newX= 1159.6012 | newY=  686.8567
particle=  3 | newX= 1164.3710 | newY=  687.1162
particle=  4 | newX= 1169.1444 | newY=  687.3777
particle=  5 | newX=  797.9439 | newY=  676.5307
particle=  6 | newX= 1178.7016 | newY=  687.9065
particle=  7 | newX= 1183.4855 | newY=  688.1736
particle=  8 | newX= 1188.2731 | newY=  688.4425
particle=  9 | newX= 1193.0642 | newY=  688.7131
STEP  29 | DAY  600
particle=  0 | newX= 1148.7508 | newY=  675.3539
particle=  1 | newX= 1153.5027 | newY=  675.6223
particle=  2 | newX= 1158.2581 | newY=  675.8930
particle=  3 | newX= 1163.0173 | newY=  676.1659
particle=  4 | newX= 1167.7802 | newY=  676.4410
particle=  5 | newX=  797.7142 | newY=  665.1588
particle=  6 | newX= 1177.3172 | newY=  676.9973
particle=  7 | newX= 1182.0914 | newY=  677.2784
particle=  8 | newX= 1186.8694 | newY=  677.5613
particle=  9 | newX= 1191.6512 | newY=  677.8459
STEP  30 | DAY  620
particle=  0 | newX= 1147.4037 | newY=  664.3322
particle=  1 | newX= 1152.1441 | newY=  664.6142
particle=  2 | newX= 1156.8884 | newY=  664.8988
particle=  3 | newX= 1161.6366 | newY=  665.1856
particle=  4 | newX= 1166.3888 | newY=  665.4748
particle=  5 | newX=  797.4902 | newY=  653.7565
particle=  6 | newX= 1175.9051 | newY=  666.0596
particle=  7 | newX= 1180.6693 | newY=  666.3551
particle=  8 | newX= 1185.4375 | newY=  666.6525
particle=  9 | newX= 1190.2099 | newY=  666.9518
STEP  31 | DAY  640
particle=  0 | newX= 1146.0296 | newY=  653.2777
particle=  1 | newX= 1150.7582 | newY=  653.5740
particle=  2 | newX= 1155.4910 | newY=  653.8729
particle=  3 | newX= 1160.2280 | newY=  654.1742
particle=  4 | newX= 1164.9691 | newY=  654.4780
particle=  5 | newX=  797.2728 | newY=  642.3235
particle=  6 | newX= 1174.4642 | newY=  655.0925
particle=  7 | newX= 1179.2182 | newY=  655.4029
particle=  8 | newX= 1183.9765 | newY=  655.7153
particle=  9 | newX= 1188.7391 | newY=  656.0297
STEP  32 | DAY  660
particle=  0 | newX= 1144.6273 | newY=  642.1893
particle=  1 | newX= 1149.3439 | newY=  642.5003
particle=  2 | newX= 1154.0648 | newY=  642.8141
particle=  3 | newX= 1158.7902 | newY=  643.1305
particle=  4 | newX= 1163.5201 | newY=  643.4495
particle=  5 | newX=  797.0630 | newY=  630.8593
particle=  6 | newX= 1172.9935 | newY=  644.0946
particle=  7 | newX= 1177.7370 | newY=  644.4206
particle=  8 | newX= 1182.4851 | newY=  644.7487
particle=  9 | newX= 1187.2378 | newY=  645.0788
STEP  33 | DAY  680
particle=  0 | newX= 1143.1958 | newY=  631.0653
particle=  1 | newX= 1147.8999 | newY=  631.3917
particle=  2 | newX= 1152.6087 | newY=  631.7210
particle=  3 | newX= 1157.3223 | newY=  632.0531
particle=  4 | newX= 1162.0406 | newY=  632.3879
particle=  5 | newX=  796.8621 | newY=  619.3636
particle=  6 | newX= 1171.4916 | newY=  633.0650
particle=  7 | newX= 1176.2244 | newY=  633.4071
particle=  8 | newX= 1180.9621 | newY=  633.7514
particle=  9 | newX= 1185.7047 | newY=  634.0978
STEP  34 | DAY  700
particle=  0 | newX= 1141.7339 | newY=  619.9044
particle=  1 | newX= 1146.4252 | newY=  620.2468
particle=  2 | newX= 1151.1215 | newY=  620.5922
particle=  3 | newX= 1155.8228 | newY=  620.9406
particle=  4 | newX= 1160.5292 | newY=  621.2918
particle=  5 | newX=  796.6711 | newY=  607.8361
particle=  6 | newX= 1169.9573 | newY=  622.0022
particle=  7 | newX= 1174.6792 | newY=  622.3611
particle=  8 | newX= 1179.4062 | newY=  622.7224
particle=  9 | newX= 1184.1384 | newY=  623.0858
STEP  35 | DAY  720
particle=  0 | newX= 1140.2402 | newY=  608.7049
particle=  1 | newX= 1144.9183 | newY=  609.0639
particle=  2 | newX= 1149.6017 | newY=  609.4262
particle=  3 | newX= 1154.2904 | newY=  609.7916
particle=  4 | newX= 1158.9846 | newY=  610.1599
particle=  5 | newX=  796.4916 | newY=  596.2767
particle=  6 | newX= 1168.3892 | newY=  610.9049
particle=  7 | newX= 1173.0998 | newY=  611.2814
particle=  8 | newX= 1177.8158 | newY=  611.6603
particle=  9 | newX= 1182.5374 | newY=  612.0414
STEP  36 | DAY  740
particle=  0 | newX= 1138.7134 | newY=  597.4650
particle=  1 | newX= 1143.3778 | newY=  597.8414
particle=  2 | newX= 1148.0479 | newY=  598.2212
particle=  3 | newX= 1152.7237 | newY=  598.6043
particle=  4 | newX= 1157.4052 | newY=  598.9905
particle=  5 | newX=  796.3249 | newY=  584.6849
particle=  6 | newX= 1166.7857 | newY=  599.7718
particle=  7 | newX= 1171.4847 | newY=  600.1665
particle=  8 | newX= 1176.1896 | newY=  600.5638
particle=  9 | newX= 1180.9004 | newY=  600.9634
STEP  37 | DAY  760
particle=  0 | newX= 1137.1519 | newY=  586.1827
particle=  1 | newX= 1141.8022 | newY=  586.5773
particle=  2 | newX= 1146.4586 | newY=  586.9755
particle=  3 | newX= 1151.1210 | newY=  587.3771
particle=  4 | newX= 1155.7896 | newY=  587.7821
particle=  5 | newX=  796.1728 | newY=  573.0608
particle=  6 | newX= 1165.1453 | newY=  588.6011
particle=  7 | newX= 1169.8324 | newY=  589.0149
particle=  8 | newX= 1174.5258 | newY=  589.4314
particle=  9 | newX= 1179.2255 | newY=  589.8504
STEP  38 | DAY  780
particle=  0 | newX= 1135.5541 | newY=  574.8560
particle=  1 | newX= 1140.1898 | newY=  575.2696
particle=  2 | newX= 1144.8320 | newY=  575.6871
particle=  3 | newX= 1149.4807 | newY=  576.1081
particle=  4 | newX= 1154.1359 | newY=  576.5326
particle=  5 | newX=  796.0373 | newY=  561.4042
particle=  6 | newX= 1163.4660 | newY=  577.3913
particle=  7 | newX= 1168.1410 | newY=  577.8251
particle=  8 | newX= 1172.8227 | newY=  578.2616
particle=  9 | newX= 1177.5110 | newY=  578.7008
STEP  39 | DAY  800
particle=  0 | newX= 1133.9182 | newY=  563.4826
particle=  1 | newX= 1138.5388 | newY=  563.9162
particle=  2 | newX= 1143.1664 | newY=  564.3538
particle=  3 | newX= 1147.8008 | newY=  564.7952
particle=  4 | newX= 1152.4422 | newY=  565.2402
particle=  5 | newX=  795.9202 | newY=  549.7151
particle=  6 | newX= 1161.7461 | newY=  566.1404
particle=  7 | newX= 1166.4086 | newY=  566.5951
particle=  8 | newX= 1171.0782 | newY=  567.0528
particle=  9 | newX= 1175.7549 | newY=  567.5131
STEP  40 | DAY  820
particle=  0 | newX= 1132.2422 | newY=  552.0600
particle=  1 | newX= 1136.8472 | newY=  552.5146
particle=  2 | newX= 1141.4596 | newY=  552.9734
particle=  3 | newX= 1146.0793 | newY=  553.4362
particle=  4 | newX= 1150.7065 | newY=  553.9028
particle=  5 | newX=  795.8240 | newY=  537.9936
particle=  6 | newX= 1159.9834 | newY=  554.8465
particle=  7 | newX= 1164.6331 | newY=  555.3233
particle=  8 | newX= 1169.2903 | newY=  555.8030
particle=  9 | newX= 1173.9552 | newY=  556.2856
STEP  41 | DAY  840
particle=  0 | newX= 1130.5240 | newY=  540.5856
particle=  1 | newX= 1135.1128 | newY=  541.0622
particle=  2 | newX= 1139.7095 | newY=  541.5433
particle=  3 | newX= 1144.3140 | newY=  542.0286
particle=  4 | newX= 1148.9266 | newY=  542.5179
particle=  5 | newX=  795.7511 | newY=  526.2399
particle=  6 | newX= 1158.1756 | newY=  543.5075
particle=  7 | newX= 1162.8121 | newY=  544.0074
particle=  8 | newX= 1167.4567 | newY=  544.5104
particle=  9 | newX= 1172.1094 | newY=  545.0162
STEP  42 | DAY  860
particle=  0 | newX= 1128.7612 | newY=  529.0563
particle=  1 | newX= 1133.3332 | newY=  529.5562
particle=  2 | newX= 1137.9136 | newY=  530.0609
particle=  3 | newX= 1142.5025 | newY=  530.5699
particle=  4 | newX= 1147.0998 | newY=  531.0831
particle=  5 | newX=  795.7043 | newY=  514.4543
particle=  6 | newX= 1156.3202 | newY=  532.1211
particle=  7 | newX= 1160.9432 | newY=  532.6453
particle=  8 | newX= 1165.5749 | newY=  533.1728
particle=  9 | newX= 1170.2151 | newY=  533.7032
STEP  43 | DAY  880
particle=  0 | newX= 1126.9512 | newY=  517.4689
particle=  1 | newX= 1131.5057 | newY=  517.9935
particle=  2 | newX= 1136.0693 | newY=  518.5230
particle=  3 | newX= 1140.6419 | newY=  519.0572
particle=  4 | newX= 1145.2236 | newY=  519.5957
particle=  5 | newX=  795.6868 | newY=  502.6373
particle=  6 | newX= 1154.4144 | newY=  520.6846
particle=  7 | newX= 1159.0236 | newY=  521.2346
particle=  8 | newX= 1163.6419 | newY=  521.7879
particle=  9 | newX= 1168.2695 | newY=  522.3442
STEP  44 | DAY  900
particle=  0 | newX= 1125.0911 | newY=  505.8199
particle=  1 | newX= 1129.6275 | newY=  506.3706
particle=  2 | newX= 1134.1736 | newY=  506.9265
particle=  3 | newX= 1138.7294 | newY=  507.4872
particle=  4 | newX= 1143.2949 | newY=  508.0525
particle=  5 | newX=  795.7019 | newY=  490.7895
particle=  6 | newX= 1152.4553 | newY=  509.1955
particle=  7 | newX= 1157.0502 | newY=  509.7726
particle=  8 | newX= 1161.6550 | newY=  510.3532
particle=  9 | newX= 1166.2695 | newY=  510.9369
STEP  45 | DAY  920
particle=  0 | newX= 1123.1778 | newY=  494.1052
particle=  1 | newX= 1127.6953 | newY=  494.6837
particle=  2 | newX= 1132.2232 | newY=  495.2676
particle=  3 | newX= 1136.7615 | newY=  495.8566
particle=  4 | newX= 1141.3103 | newY=  496.4502
particle=  5 | newX=  795.7534 | newY=  478.9117
particle=  6 | newX= 1150.4394 | newY=  497.6506
particle=  7 | newX= 1155.0197 | newY=  498.2566
particle=  8 | newX= 1159.6105 | newY=  498.8661
particle=  9 | newX= 1164.2118 | newY=  499.4788
