Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
particle=  3 | newX=  129.3258 | newY=  781.6490
particle=  4 | newX=  134.1107 | newY=  781.4045
particle=  5 | newX=  138.8932 | newY=  781.1615
particle=  6 | newX=  143.6733 | newY=  780.9199
particle=  7 | newX=  148.4510 | newY=  780.6798
particle=  8 | newX=  153.2264 | newY=  780.4412
particle=  9 | newX=  157.9994 | newY=  780.2041
STEP  40 | DAY  820
particle=  0 | newX=  116.1096 | newY=  771.7913
particle=  1 | newX=  120.8951 | newY=  771.5336
particle=  2 | newX=  125.6780 | newY=  771.2772
particle=  3 | newX=  130.4584 | newY=  771.0222
particle=  4 | newX=  135.2362 | newY=  770.7687
particle=  5 | newX=  140.0115 | newY=  770.5166
particle=  6 | newX=  144.7842 | newY=  770.2660
particle=  7 | newX=  149.5545 | newY=  770.0170
particle=  8 | newX=  154.3224 | newY=  769.7695
particle=  9 | newX=  159.0878 | newY=  769.5236
STEP  41 | DAY  840
particle=  0 | newX=  117.2811 | newY=  761.1740
particle=  1 | newX=  122.0597 | newY=  760.9068
particle=  2 | newX=  126.8356 | newY=  760.6410
particle=  3 | newX=  131.6088 | newY=  760.3766
particle=  4 | newX=  136.3794 | newY=  760.1137
particle=  5 | newX=  141.1473 | newY=  759.8523
particle=  6 | newX=  145.9127 | newY=  759.5925
particle=  7 | newX=  150.6754 | newY=  759.3343
particle=  8 | newX=  155.4355 | newY=  759.0778
particle=  9 | newX=  160.1932 | newY=  758.8229
STEP  42 | DAY  860
particle=  0 | newX=  118.4714 | newY=  750.5381
particle=  1 | newX=  123.2429 | newY=  750.2611
particle=  2 | newX=  128.0117 | newY=  749.9855
particle=  3 | newX=  132.7777 | newY=  749.7115
particle=  4 | newX=  137.5409 | newY=  749.4390
particle=  5 | newX=  142.3013 | newY=  749.1681
particle=  6 | newX=  147.0590 | newY=  748.8989
particle=  7 | newX=  151.8140 | newY=  748.6313
particle=  8 | newX=  156.5663 | newY=  748.3655
particle=  9 | newX=  161.3160 | newY=  748.1014
STEP  43 | DAY  880
particle=  0 | newX=  119.6809 | newY=  739.8829
particle=  1 | newX=  124.4453 | newY=  739.5959
particle=  2 | newX=  129.2068 | newY=  739.3103
particle=  3 | newX=  133.9653 | newY=  739.0264
particle=  4 | newX=  138.7210 | newY=  738.7441
particle=  5 | newX=  143.4738 | newY=  738.4634
particle=  6 | newX=  148.2238 | newY=  738.1845
particle=  7 | newX=  152.9709 | newY=  737.9073
particle=  8 | newX=  157.7152 | newY=  737.6320
particle=  9 | newX=  162.4568 | newY=  737.3585
STEP  44 | DAY  900
particle=  0 | newX=  120.9101 | newY=  729.2080
particle=  1 | newX=  125.6673 | newY=  728.9106
particle=  2 | newX=  130.4213 | newY=  728.6149
particle=  3 | newX=  135.1723 | newY=  728.3208
particle=  4 | newX=  139.9203 | newY=  728.0284
particle=  5 | newX=  144.6653 | newY=  727.7377
particle=  6 | newX=  149.4074 | newY=  727.4489
particle=  7 | newX=  154.1464 | newY=  727.1618
particle=  8 | newX=  158.8826 | newY=  726.8767
particle=  9 | newX=  163.6158 | newY=  726.5935
STEP  45 | DAY  920
particle=  0 | newX=  122.1598 | newY=  718.5127
particle=  1 | newX=  126.9094 | newY=  718.2048
particle=  2 | newX=  131.6559 | newY=  717.8986
particle=  3 | newX=  136.3992 | newY=  717.5940
particle=  4 | newX=  141.1394 | newY=  717.2913
particle=  5 | newX=  145.8764 | newY=  716.9903
particle=  6 | newX=  150.6103 | newY=  716.6913
particle=  7 | newX=  155.3412 | newY=  716.3941
particle=  8 | newX=  160.0690 | newY=  716.0989
particle=  9 | newX=  164.7937 | newY=  715.8058
STEP  46 | DAY  940
particle=  0 | newX=  123.4303 | newY=  707.7966
particle=  1 | newX=  128.1724 | newY=  707.4778
particle=  2 | newX=  132.9111 | newY=  707.1608
particle=  3 | newX=  137.6466 | newY=  706.8455
particle=  4 | newX=  142.3787 | newY=  706.5321
particle=  5 | newX=  147.1076 | newY=  706.2206
particle=  6 | newX=  151.8332 | newY=  705.9110
