Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  0 | newX=  294.2237 | newY=  542.6479
particle=  1 | newX=  299.0075 | newY=  542.5498
particle=  2 | newX=  303.7907 | newY=  542.4556
particle=  3 | newX=  308.5737 | newY=  542.3652
particle=  4 | newX=  313.3563 | newY=  542.2786
particle=  5 | newX=  318.1389 | newY=  542.1959
particle=  6 | newX=  322.9214 | newY=  542.1170
particle=  7 | newX=  327.7041 | newY=  542.0418
particle=  8 | newX=  332.4870 | newY=  541.9703
particle=  9 | newX=  337.2704 | newY=  541.9026
STEP  18 | DAY  285
particle=  0 | newX=  295.0834 | newY=  533.9552
particle=  1 | newX=  299.8514 | newY=  533.8516
particle=  2 | newX=  304.6189 | newY=  533.7523
particle=  3 | newX=  309.3860 | newY=  533.6571
particle=  4 | newX=  314.1528 | newY=  533.5662
particle=  5 | newX=  318.9196 | newY=  533.4794
particle=  6 | newX=  323.6864 | newY=  533.3967
particle=  7 | newX=  328.4534 | newY=  533.3182
particle=  8 | newX=  333.2208 | newY=  533.2437
particle=  9 | newX=  337.9885 | newY=  533.1732
STEP  19 | DAY  300
particle=  0 | newX=  295.9498 | newY=  525.2320
particle=  1 | newX=  300.7014 | newY=  525.1231
particle=  2 | newX=  305.4525 | newY=  525.0187
particle=  3 | newX=  310.2033 | newY=  524.9188
particle=  4 | newX=  314.9538 | newY=  524.8236
particle=  5 | newX=  319.7042 | newY=  524.7328
particle=  6 | newX=  324.4547 | newY=  524.6466
particle=  7 | newX=  329.2055 | newY=  524.5649
particle=  8 | newX=  333.9566 | newY=  524.4876
particle=  9 | newX=  338.7083 | newY=  524.4147
STEP  20 | DAY  315
particle=  0 | newX=  296.8227 | newY=  516.4772
particle=  1 | newX=  301.5574 | newY=  516.3629
particle=  2 | newX=  306.2915 | newY=  516.2535
particle=  3 | newX=  311.0252 | newY=  516.1491
particle=  4 | newX=  315.7587 | newY=  516.0496
particle=  5 | newX=  320.4922 | newY=  515.9551
particle=  6 | newX=  325.2258 | newY=  515.8655
particle=  7 | newX=  329.9598 | newY=  515.7808
particle=  8 | newX=  334.6942 | newY=  515.7009
particle=  9 | newX=  339.4292 | newY=  515.6257
STEP  21 | DAY  330
particle=  0 | newX=  297.7019 | newY=  507.6893
particle=  1 | newX=  302.4189 | newY=  507.5696
particle=  2 | newX=  307.1353 | newY=  507.4553
particle=  3 | newX=  311.8514 | newY=  507.3465
particle=  4 | newX=  316.5673 | newY=  507.2430
particle=  5 | newX=  321.2832 | newY=  507.1449
particle=  6 | newX=  325.9993 | newY=  507.0521
particle=  7 | newX=  330.7158 | newY=  506.9645
particle=  8 | newX=  335.4328 | newY=  506.8823
particle=  9 | newX=  340.1506 | newY=  506.8051
STEP  22 | DAY  345
particle=  0 | newX=  298.5871 | newY=  498.8667
particle=  1 | newX=  303.2858 | newY=  498.7417
particle=  2 | newX=  307.9838 | newY=  498.6227
particle=  3 | newX=  312.6815 | newY=  498.5095
particle=  4 | newX=  317.3791 | newY=  498.4021
particle=  5 | newX=  322.0767 | newY=  498.3006
particle=  6 | newX=  326.7745 | newY=  498.2048
particle=  7 | newX=  331.4729 | newY=  498.1148
particle=  8 | newX=  336.1719 | newY=  498.0304
particle=  9 | newX=  340.8717 | newY=  497.9516
STEP  23 | DAY  360
