Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  7 | newX=  807.5476 | newY=  771.5261
particle=  8 | newX=  812.2700 | newY=  771.5593
particle=  9 | newX=  816.9919 | newY=  771.5945
STEP  30 | DAY  620
particle=  0 | newX=  774.2883 | newY=  760.2181
particle=  1 | newX=  779.0026 | newY=  760.2374
particle=  2 | newX=  783.7163 | newY=  760.2586
particle=  3 | newX=  788.4295 | newY=  760.2817
particle=  4 | newX=  793.1423 | newY=  760.3068
particle=  5 | newX=  797.8546 | newY=  760.3340
particle=  6 | newX=  802.5664 | newY=  760.3632
particle=  7 | newX=  807.2777 | newY=  760.3945
particle=  8 | newX=  811.9887 | newY=  760.4279
particle=  9 | newX=  816.6992 | newY=  760.4635
STEP  31 | DAY  640
particle=  0 | newX=  774.0981 | newY=  749.0611
particle=  1 | newX=  778.8012 | newY=  749.0799
particle=  2 | newX=  783.5037 | newY=  749.1007
particle=  3 | newX=  788.2058 | newY=  749.1236
particle=  4 | newX=  792.9072 | newY=  749.1485
particle=  5 | newX=  797.6081 | newY=  749.1755
particle=  6 | newX=  802.3085 | newY=  749.2046
particle=  7 | newX=  807.0084 | newY=  749.2359
particle=  8 | newX=  811.7078 | newY=  749.2694
particle=  9 | newX=  816.4067 | newY=  749.3051
STEP  32 | DAY  660
particle=  0 | newX=  773.9096 | newY=  737.8777
particle=  1 | newX=  778.6015 | newY=  737.8960
particle=  2 | newX=  783.2928 | newY=  737.9162
particle=  3 | newX=  787.9835 | newY=  737.9386
particle=  4 | newX=  792.6735 | newY=  737.9631
particle=  5 | newX=  797.3629 | newY=  737.9898
particle=  6 | newX=  802.0518 | newY=  738.0187
particle=  7 | newX=  806.7400 | newY=  738.0498
particle=  8 | newX=  811.4277 | newY=  738.0832
particle=  9 | newX=  816.1149 | newY=  738.1190
STEP  33 | DAY  680
particle=  0 | newX=  773.7234 | newY=  726.6677
particle=  1 | newX=  778.4040 | newY=  726.6851
particle=  2 | newX=  783.0839 | newY=  726.7047
particle=  3 | newX=  787.7631 | newY=  726.7265
particle=  4 | newX=  792.4416 | newY=  726.7504
particle=  5 | newX=  797.1194 | newY=  726.7766
particle=  6 | newX=  801.7965 | newY=  726.8050
particle=  7 | newX=  806.4730 | newY=  726.8358
particle=  8 | newX=  811.1489 | newY=  726.8689
particle=  9 | newX=  815.8241 | newY=  726.9045
STEP  34 | DAY  700
particle=  0 | newX=  773.5398 | newY=  715.4306
particle=  1 | newX=  778.2090 | newY=  715.4471
particle=  2 | newX=  782.8774 | newY=  715.4658
particle=  3 | newX=  787.5451 | newY=  715.4867
particle=  4 | newX=  792.2119 | newY=  715.5098
particle=  5 | newX=  796.8780 | newY=  715.5353
particle=  6 | newX=  801.5433 | newY=  715.5631
particle=  7 | newX=  806.2079 | newY=  715.5934
particle=  8 | newX=  810.8717 | newY=  715.6260
particle=  9 | newX=  815.5349 | newY=  715.6612
STEP  35 | DAY  720
particle=  0 | newX=  773.3594 | newY=  704.1662
particle=  1 | newX=  778.0172 | newY=  704.1815
particle=  2 | newX=  782.6740 | newY=  704.1991
particle=  3 | newX=  787.3299 | newY=  704.2189
particle=  4 | newX=  791.9850 | newY=  704.2411
particle=  5 | newX=  796.6392 | newY=  704.2656
particle=  6 | newX=  801.2926 | newY=  704.2926
particle=  7 | newX=  805.9451 | newY=  704.3220
particle=  8 | newX=  810.5968 | newY=  704.3540
particle=  9 | newX=  815.2477 | newY=  704.3885
STEP  36 | DAY  740
particle=  0 | newX=  773.1828 | newY=  692.8741
particle=  1 | newX=  777.8289 | newY=  692.8880
particle=  2 | newX=  782.4741 | newY=  692.9042
particle=  3 | newX=  787.1183 | newY=  692.9227
particle=  4 | newX=  791.7615 | newY=  692.9437
particle=  5 | newX=  796.4037 | newY=  692.9670
